,country,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
80,Saudi Arabia,4.57,4.62,5.27,5.56,5.82,6.05,6.25,5.64,5.18,5.38,5.55,5.77,5.40,5.50,5.50
81,"Serbia, Republic of",12.10,12.20,14.47,16.00,19.53,21.83,21.56,18.80,14.70,17.40,20.00,24.40,23.10,21.00,21.57
82,Singapore,2.68,2.65,3.55,3.95,3.35,3.13,2.65,2.13,2.23,3.03,2.18,2.03,1.95,1.90,2.00
83,Slovak Republic,18.91,19.46,18.81,17.69,18.36,16.38,13.47,11.23,9.58,12.12,14.49,13.68,13.97,14.22,13.86
84,Slovenia,6.74,6.19,6.34,6.70,6.34,6.54,5.99,4.86,4.39,5.89,7.27,8.21,8.89,10.14,9.90
85,South Africa,23.00,25.95,27.80,27.65,25.15,24.65,23.55,23.00,22.53,23.70,24.88,24.80,24.88,24.73,25.22
86,Spain,13.86,10.54,11.48,11.50,10.95,9.15,8.45,8.23,11.25,17.88,19.85,21.40,24.80,26.10,24.64
87,Sri Lanka,7.57,7.90,8.80,8.40,8.30,7.70,6.60,6.20,6.00,5.90,5.00,4.10,4.00,4.00,4.00
88,Sudan,15.20,15.00,15.90,15.80,16.18,17.01,17.49,16.77,16.04,14.89,13.73,12.03,14.80,14.80,13.64
89,Suriname,13.77,13.73,9.66,6.55,8.38,11.08,12.28,10.68,9.36,9.02,7.56,8.01,8.50,8.50,8.93
90,Sweden,5.60,5.83,5.95,6.57,7.38,7.64,7.04,6.12,6.17,8.30,8.58,7.77,7.97,8.00,8.02
91,Switzerland,1.82,1.70,2.55,3.69,3.88,3.76,3.33,2.77,2.58,3.70,3.52,2.84,2.91,3.16,3.36
92,Syrian Arab Republic,13.48,8.17,11.67,10.78,12.29,8.09,8.18,8.41,10.92,8.14,8.61,NA,NA,NA,NA
93,Taiwan Prov.of China,2.99,4.57,5.17,4.99,4.44,4.13,3.91,3.91,4.14,5.85,5.21,4.39,4.24,4.18,4.00
94,Thailand,NA,1.80,1.40,1.50,1.50,1.86,1.52,1.36,1.37,1.50,1.05,0.66,0.68,0.72,0.70
95,Trinidad and Tobago,12.13,10.80,10.40,10.50,8.40,8.00,6.20,5.60,4.60,5.30,5.90,5.00,4.80,3.70,5.00
96,Tunisia,15.69,15.13,15.26,14.51,14.24,12.82,12.51,12.40,12.44,13.29,13.05,18.89,16.72,15.33,15.30
97,Turkey,5.62,7.23,8.99,9.14,8.92,9.49,9.03,9.18,10.02,13.05,11.13,9.10,8.43,9.04,9.48
98,Ukraine,11.48,10.79,9.63,9.06,8.59,7.18,6.81,6.35,6.36,8.84,8.10,7.86,7.53,7.17,9.97
99,United Kingdom,5.45,5.10,5.20,5.03,4.75,4.88,5.45,5.35,5.73,7.65,7.85,8.10,7.95,7.60,6.34
100,United States,3.97,4.74,5.78,5.99,5.54,5.08,4.61,4.62,5.80,9.28,9.63,8.93,8.08,7.35,6.29
101,Uruguay,13.40,15.19,16.75,17.15,13.33,12.16,10.94,9.24,7.61,7.31,7.02,6.33,6.33,6.60,6.81
102,"Venezuela, Rep. Bol.",14.01,13.36,16.00,18.19,15.07,12.24,9.96,8.49,7.35,7.88,8.51,8.20,7.82,7.47,7.99
103,Vietnam,6.42,6.28,6.01,5.78,5.60,5.31,4.82,4.64,4.65,4.60,4.29,4.51,4.47,4.42,4.42
